,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
808,HH11240029,HS2402000014,3,1,3,14,4,1,4,105.6,3,1,2,8,1,1,4,2,2,1,4,3600.26
809,HH11240031,HS2402000016,3,1,3,19,4,1,4,105.6,3,1,2,8,1,3,4,4,2,5,4,7292.1187931
810,HH15240021,HS2402000017,3,1,3,15,4,3,4,105.6,3,1,1,8,1,3,4,4,2,1,6,5741.5094353
811,HH14240006,HS2402000018,3,1,3,3,4,1,3,105.6,3,1,2,16,1,1,4,3,2,1,4,19677.47
812,HH15240024,HS2402000022,3,1,1,3,4,1,6,79.2,2,1,1,8,1,3,4,2,2,1,3,9483.78
813,HH16240011,HS2402000023,3,1,3,15,5,2,5,59.4,2,1,1,4,1,3,4,2,2,1,4,5456.64
814,HH12240036,HS2402000024,3,1,3,10,4,1,5,79.2,3,1,1,7,1,3,4,3,2,1,5,15008.852088
815,HH11240035,HS2402000027,3,1,3,6,4,1,5,79.2,3,1,1,7,1,3,4,4,2,1,4,13932.86
816,HH12240037,HS2402000028,3,1,3,7,4,2,5,79.2,3,1,1,7,1,1,4,2,3,2,3,14702.14
817,HH17240001,HS2402000030,3,1,1,3,3,3,4,49.5,2,1,1,6,1,3,4,3,2,1,4,7902.25
818,HH17240002,HS2402000031,3,1,3,10,6,1,5,75.9,3,1,1,11,1,1,4,3,2,1,4,8883.2786179
819,HH17240003,HS2402000032,3,1,3,16,3,1,5,75.9,3,1,1,11,1,1,4,2,2,3,4,11040.36117
820,HH17240007,HS2402000036,3,1,2,3,2,2,6,132.0,3,1,2,8,1,3,4,3,2,3,1,13420.19
821,HH17240008,HS2402000037,3,1,2,4,5,1,6,59.4,1,1,1,9,1,1,4,1,2,3,3,4646.6801412
822,HH17240009,HS2402000038,3,1,1,1,4,3,1,151.8,3,1,1,12,1,1,4,2,3,3,3,9719.567347
823,HH17240010,HS2402000039,3,1,2,2,5,3,3,82.5,3,1,1,12,1,3,3,4,2,3,6,7574.02
824,HH14240002,HS2402000040,3,1,3,5,6,1,5,82.5,3,1,1,8,1,3,4,4,2,3,6,22727.03
825,HH17240011,HS2402000041,3,1,3,10,2,1,5,99.0,3,1,2,7,1,3,4,3,2,1,5,13749.8
826,HH17240012,HS2402000042,3,1,3,2,3,1,3,82.5,3,1,1,8,1,1,4,2,2,1,4,9838.0899159
827,HH17240013,HS2402000043,3,1,2,12,6,2,5,59.4,2,1,1,4,1,3,4,2,2,1,4,5421.5
828,HH11240027,HS2402000044,3,1,3,23,4,1,6,75.9,3,1,2,7,1,3,4,2,2,2,5,8067.4435159
829,HH17240014,HS2402000045,3,1,3,3,4,1,3,75.9,3,1,1,4,1,3,4,3,2,1,3,4884.2602118
830,HH18240019,HS2402000046,3,1,3,9,2,1,4,105.6,3,1,2,22,1,3,4,2,2,3,7,9289.4199305
831,HH18240006,HS2402000047,3,1,3,3,6,1,5,62.7,2,1,1,4,1,1,4,2,3,5,1,2947.3210264
832,HH18240007,HS2402000048,3,1,3,9,3,1,6,82.5,3,1,2,16,1,3,4,2,3,5,4,11002.985716
833,HH18240008,HS2402000049,3,1,2,2,2,1,6,49.5,1,1,1,4,1,3,4,1,2,1,2,2904.26
834,HH18240051,HS2402000050,3,1,1,2,5,1,4,79.2,2,1,1,6,1,3,4,2,2,1,2,9075.5553166
835,HH16240007,HS2403000030,3,1,3,4,4,3,4,66.0,2,1,1,16,1,3,4,4,2,1,7,5734.588005
836,HH17240015,HS2403000031,3,1,1,1,4,1,2,82.5,3,1,1,12,2,1,3,1,3,5,1,8752.74
837,HH17240016,HS2403000032,3,1,1,2,5,1,4,56.1,2,1,1,4,2,3,3,1,2,1,2,8348.54
838,HH17240017,HS2403000034,3,1,3,1,4,1,3,102.3,3,1,2,12,1,3,4,6,2,1,5,19584.43
839,HH17240019,HS2403000036,3,1,1,1,6,3,1,66.0,2,0,1,8,2,1,3,1,3,5,1,10692.58
840,HH17240020,HS2403000037,3,1,1,1,3,3,1,49.5,3,0,1,2,2,1,3,2,3,5,1,10711.42
841,HH17240021,HS2403000038,3,1,1,1,6,1,5,82.5,3,1,1,4,2,3,3,3,2,4,2,6990.14
842,HH17240022,HS2403000039,3,1,1,1,6,3,1,33.0,2,1,1,6,2,1,3,1,3,5,1,6548.96
843,HH17240023,HS2403000040,3,1,3,5,2,4,3,89.1,3,1,1,4,1,3,4,2,3,5,3,10913.265029
844,HH17240024,HS2403000042,3,1,3,4,2,3,4,66.0,2,1,1,6,1,3,4,2,3,5,2,4165.345564
845,HH17240027,HS2403000045,3,1,3,9,2,3,4,79.2,3,1,1,4,1,1,4,2,3,5,4,9291.4066404
846,HH17240029,HS2403000047,3,1,3,14,2,2,4,92.4,3,1,1,12,1,3,4,3,3,3,5,7731.17
847,HH18240001,HS2403000048,3,1,1,1,4,3,2,49.5,2,1,1,6,1,3,4,3,2,3,5,7855.57
848,HH18240010,HS2403000049,3,1,1,2,5,2,4,66.0,1,1,1,5,1,3,4,1,3,5,1,7371.53195
849,HH18240031,HS2403000050,3,1,1,1,4,3,2,56.1,2,1,1,6,1,3,4,3,2,1,5,8131.89
850,HH18240021,HS2403000051,3,1,3,12,4,1,4,112.2,3,1,2,9,1,3,4,3,2,1,5,10570.782051
851,HH18240055,HS2403000052,3,1,3,4,4,1,4,66.0,2,1,1,12,1,3,4,2,3,5,1,10524.750707
852,HH18240056,HS2403000053,3,1,3,5,4,1,4,66.0,2,1,1,10,1,3,4,3,2,1,3,10105.299648
853,HH17240030,HS2404000024,3,1,3,11,4,1,4,69.3,2,1,1,6,1,1,4,2,2,2,5,11018.32
854,HH17240031,HS2404000025,3,1,1,1,6,3,3,99.0,3,1,1,12,1,2,4,1,3,5,1,5679.234195
855,HH17240032,HS2404000026,3,1,1,1,4,2,4,211.2,5,1,2,22,1,3,4,2,2,5,6,23988.608818
856,HH17240034,HS2404000028,3,1,3,17,3,1,4,79.2,3,1,1,12,1,3,4,1,2,3,3,3267.0522222
857,HH17240035,HS2404000032,3,1,3,18,2,1,4,102.3,3,1,2,11,1,3,5,1,2,5,4,6660.302892
858,HH17240038,HS2404000035,3,1,1,3,5,1,5,135.3,3,1,2,14,1,3,5,2,2,1,5,11100.33
859,HH17240040,HS2404000037,3,1,2,1,6,1,4,59.4,2,1,1,8,1,3,4,2,3,3,4,9138.7159159
860,HH17240041,HS2404000038,3,1,3,7,3,1,5,72.6,2,1,1,9,1,3,4,3,2,5,2,5296.68
861,HH17240044,HS2404000041,3,1,3,16,4,1,5,151.8,3,1,2,19,1,3,5,3,3,3,6,10202.866094
862,HH12240001,HS2404000042,3,1,3,9,6,1,3,108.9,4,1,2,18,1,3,4,2,2,2,4,9679.2530098
863,HH17240045,HS2404000043,3,1,2,4,5,2,6,198.0,2,1,2,8,1,3,4,3,2,3,3,5622.0908306
864,HH18240017,HS2404000047,3,1,3,4,3,3,5,66.0,2,1,1,6,1,1,4,1,3,5,4,3638.8370801
865,HH18240003,HS2404000048,3,1,3,16,3,2,6,112.2,3,1,2,14,1,3,4,4,2,5,4,4104.2164436
866,HH18240024,HS2404000049,3,1,1,1,5,1,3,89.1,4,1,1,5,1,3,4,2,3,5,3,11654.07461
867,HH18240027,HS2404000050,3,1,3,6,3,2,4,79.2,3,1,1,12,1,1,4,6,3,1,6,18834.297414
868,HH18240009,HS2404000051,3,1,2,2,5,2,4,99.0,3,1,1,4,1,3,4,3,2,3,2,4010.2655632
869,HH18240015,HS2404000052,3,1,3,2,3,1,3,89.1,2,1,1,8,1,3,4,2,2,1,1,11654.07461
870,HH18240014,HS2404000053,3,1,3,5,2,1,4,102.3,3,1,2,5,1,1,4,1,2,3,3,3863.1593355
871,HH18240011,HS2404000054,3,1,1,1,5,1,3,165.0,1,1,1,5,1,3,4,2,2,1,4,6096.221753
872,HH18240016,HS2404000055,3,1,1,2,5,2,5,161.7,3,1,1,28,1,3,5,3,3,5,5,12416.884634
873,HH18240028,HS2404000056,3,1,1,1,4,3,4,191.4,4,1,1,18,1,3,4,4,2,5,2,14068.4
874,HH18240005,HS2404000057,3,1,2,3,5,1,3,148.5,3,1,1,14,2,3,3,5,2,1,4,11789.0
875,HH18240025,HS2404000058,3,1,3,16,2,2,5,105.6,3,1,2,14,1,3,4,2,3,1,3,10472.049302
876,HH18240029,HS2404000059,3,1,1,1,4,1,4,191.4,3,1,1,7,1,2,4,4,2,5,7,11350.114844
877,HH18240030,HS2404000060,3,1,1,1,5,1,5,89.1,3,1,1,12,1,1,4,4,2,2,5,14607.268488
878,HH18240035,HS2404000061,3,1,1,1,5,1,2,132.0,3,1,1,7,2,1,3,1,3,5,1,7015.3855326
879,HH18240018,HS2404000062,3,1,3,12,3,3,4,79.2,3,1,1,12,1,3,4,2,2,2,2,9889.7070364
880,HH18240036,HS2404000063,3,1,3,1,2,2,5,112.2,3,1,2,14,1,3,4,2,3,3,2,10570.782051
881,HH18240032,HS2404000064,3,1,3,5,3,1,5,79.2,3,1,2,12,1,3,4,3,2,1,1,6975.7469842
882,HH18240033,HS2404000065,3,1,3,12,2,2,5,112.2,3,1,2,14,1,3,4,2,2,1,3,3514.2073378
883,HH18240026,HS2404000066,3,1,3,11,2,1,3,89.1,3,1,1,20,1,3,4,3,3,5,3,11843.27461
884,HH18240054,HS2404000067,3,1,1,1,5,1,3,99.0,3,1,1,9,1,3,4,1,3,2,1,6175.7276254
885,HH18240052,HS2404000068,3,1,3,13,2,2,3,89.1,3,1,2,8,1,3,4,3,2,2,2,8038.0074554
886,HH12240002,HS2405000004,3,1,3,11,4,2,4,75.9,3,1,1,9,1,3,4,4,2,3,5,5016.8897502
887,HH12240003,HS2405000006,3,1,3,3,4,2,4,75.9,3,1,1,6,1,3,4,4,2,3,3,7212.6947679
888,HH12240005,HS2405000009,3,1,3,9,4,2,4,75.9,3,1,1,9,1,3,4,2,2,1,4,5238.9843361
889,HH11240002,HS2405000010,3,1,1,1,6,2,4,95.7,3,1,2,8,2,3,3,2,3,3,2,10496.37
890,HH12240006,HS2405000012,3,1,2,1,5,2,4,165.0,2,1,1,8,2,1,3,3,2,1,5,15941.57
891,HH16240001,HS2405000013,3,1,2,1,5,2,2,66.0,2,1,1,2,4,3,5,2,3,3,3,16954.9
892,HH12240011,HS2405000019,3,1,3,18,4,2,4,89.1,3,1,1,8,1,3,4,4,2,1,7,7604.0617785
893,HH12240012,HS2405000020,3,1,3,4,6,2,4,89.1,3,1,1,7,1,1,4,4,2,1,6,7310.2398412
894,HH15240001,HS2405000022,3,1,3,7,4,4,4,79.2,3,1,1,8,1,1,4,2,2,1,5,8001.219857
895,HH12240014,HS2405000023,3,1,3,13,4,4,5,56.1,1,1,1,5,1,3,4,2,3,5,3,3462.3160284
896,HH16240002,HS2405000025,3,1,1,2,3,3,4,66.0,2,1,1,16,1,3,4,3,2,1,6,5549.86328
