,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
857,HS2403000021,HH11240007,3,1,1,1,5,3,6,102.3,3,1,1,5,2,3,3,4,5,7808.61,55,25000000
858,HS2403000022,HH11240008,3,1,1,2,5,3,5,79.19999999999999,3,1,1,8,2,1,3,4,1,17439.6,45,42000000
859,HS2403000023,HH11240009,3,1,2,1,4,4,1,42.9,2,1,1,7,2,3,3,3,5,8904.49,55,42000000
860,HS2403000024,HH11240010,3,1,1,1,5,3,1,132.0,4,1,2,16,5,3,3,4,1,17327.0,45,25000000
861,HS2403000025,HH16240005,3,1,3,11,6,1,5,85.8,3,1,2,7,1,3,4,4,1,15021.72,55,66000000
862,HS2403000026,HH15240012,3,1,2,1,4,2,4,89.1,3,1,1,6,1,3,4,2,5,5082.71,67,12000000
863,HS2403000027,HH16240006,3,1,2,2,5,1,1,66.0,4,1,2,6,1,3,4,2,1,17566.74,55,25000000
864,HS2403000028,HH15240013,3,1,1,1,5,2,4,105.6,2,1,1,8,1,3,4,4,1,13051.94,45,54000000
865,HS2403000029,HH15240014,3,1,1,1,6,2,2,46.199999999999996,1,1,1,4,1,1,3,1,5,4061.3,67,12000000
866,HS2403000030,HH16240007,3,1,3,4,6,1,5,112.19999999999999,3,1,2,7,1,3,4,2,1,22469.43,45,66000000
867,HS2404000001,HH15240017,3,1,3,7,4,1,5,115.5,3,1,1,12,1,3,4,4,3,25315.21,45,42000000
868,HS2404000002,HH11240013,3,1,3,1,5,1,5,108.89999999999999,3,1,2,7,1,1,4,4,1,13613.41,45,25000000
869,HS2404000003,HH11240014,3,1,3,12,4,1,5,108.89999999999999,3,1,2,7,1,1,4,2,1,10059.47,67,25000000
870,HS2404000004,HH12240025,3,1,3,14,4,1,5,108.89999999999999,3,1,2,9,1,3,4,4,1,9043.65,45,54000000
871,HS2404000005,HH11240015,3,1,3,4,4,1,5,108.89999999999999,3,1,2,7,1,1,4,4,5,8950.895605,55,25000000
872,HS2404000006,HH11240016,3,1,3,5,3,1,5,108.89999999999999,3,1,2,7,1,1,4,4,5,9654.953112,55,25000000
873,HS2404000007,HH14240003,3,1,3,1,5,2,4,105.6,3,1,2,8,1,3,4,4,3,12766.91,55,42000000
874,HS2404000008,HH12240026,3,1,2,2,4,2,5,52.8,1,1,1,7,1,3,4,3,1,8552.66,25,18000000
875,HS2404000009,HH12240027,3,1,1,2,4,2,4,108.89999999999999,3,1,1,16,1,1,4,4,1,20327.46,35,42000000
876,HS2404000010,HH14240004,3,1,1,2,4,2,5,66.0,2,1,1,6,2,3,3,4,1,11108.22,35,42000000
877,HS2404000011,HH13240006,3,1,1,1,5,2,4,118.8,3,1,2,5,2,1,3,2,3,5668.95,55,42000000
878,HS2404000012,HH12240028,3,1,3,7,4,3,4,105.6,3,1,2,10,1,3,4,2,1,10661.51,35,25000000
879,HS2404000013,HH12240029,3,1,3,7,4,3,4,105.6,3,1,2,7,1,3,4,3,1,21808.56,67,42000000
880,HS2404000014,HH11240017,3,1,1,1,6,2,2,72.6,2,1,1,14,2,3,3,2,1,13491.39,35,25000000
881,HS2404000015,HH16240010,3,1,3,4,6,1,6,112.19999999999999,3,1,2,12,1,3,4,4,3,12108.83,55,54000000
