"actual","predicted","error","mse","rmse","mae"
14513.87,10321.8931830274,4191.97681697263,22639406.2747011,4758.08851059973,7.78671325663048e-13
5095.54,7926.15063786792,-2830.61063786792,22639406.2747011,4758.08851059973,7.78671325663048e-13
6832.98,11976.2177240499,-5143.23772404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
14155.42,11976.2177240499,2179.20227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
10963.72009,10321.8931830274,641.826906972628,22639406.2747011,4758.08851059973,7.78671325663048e-13
10606.4,11976.2177240499,-1369.81772404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
9490.423701,10837.1988302728,-1346.77512927285,22639406.2747011,4758.08851059973,7.78671325663048e-13
12540.46881,11976.2177240499,564.251085950084,22639406.2747011,4758.08851059973,7.78671325663048e-13
10315.67,10837.1988302728,-521.52883027285,22639406.2747011,4758.08851059973,7.78671325663048e-13
8867.92,10837.1988302728,-1969.27883027285,22639406.2747011,4758.08851059973,7.78671325663048e-13
6256.96,11976.2177240499,-5719.25772404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
11018.48,11976.2177240499,-957.737724049917,22639406.2747011,4758.08851059973,7.78671325663048e-13
9353.66,11976.2177240499,-2622.55772404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
9639.45,9602.92531472079,36.5246852792079,22639406.2747011,4758.08851059973,7.78671325663048e-13
8724.38,11976.2177240499,-3251.83772404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
12339.79,13863.915170598,-1524.12517059804,22639406.2747011,4758.08851059973,7.78671325663048e-13
22813.59,11976.2177240499,10837.3722759501,22639406.2747011,4758.08851059973,7.78671325663048e-13
8214.82,11976.2177240499,-3761.39772404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
8456.857497,11976.2177240499,-3519.36022704992,22639406.2747011,4758.08851059973,7.78671325663048e-13
6582.817928,11976.2177240499,-5393.39979604992,22639406.2747011,4758.08851059973,7.78671325663048e-13
11998.45955,11976.2177240499,22.2418259500828,22639406.2747011,4758.08851059973,7.78671325663048e-13
17278.97,11976.2177240499,5302.75227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
11177.62,13863.915170598,-2686.29517059804,22639406.2747011,4758.08851059973,7.78671325663048e-13
9919.558084,11976.2177240499,-2056.65964004992,22639406.2747011,4758.08851059973,7.78671325663048e-13
8716.57,11976.2177240499,-3259.64772404992,22639406.2747011,4758.08851059973,7.78671325663048e-13
3228.77,7926.15063786792,-4697.38063786792,22639406.2747011,4758.08851059973,7.78671325663048e-13
4456.756038,10837.1988302728,-6380.44279227285,22639406.2747011,4758.08851059973,7.78671325663048e-13
9910.3,7926.15063786792,1984.14936213208,22639406.2747011,4758.08851059973,7.78671325663048e-13
14133.45,20850.3873864545,-6716.93738645454,22639406.2747011,4758.08851059973,7.78671325663048e-13
13829.46,20850.3873864545,-7020.92738645454,22639406.2747011,4758.08851059973,7.78671325663048e-13
4746.72,7926.15063786792,-3179.43063786792,22639406.2747011,4758.08851059973,7.78671325663048e-13
23122.51,20850.3873864545,2272.12261354546,22639406.2747011,4758.08851059973,7.78671325663048e-13
27839.78,20850.3873864545,6989.39261354546,22639406.2747011,4758.08851059973,7.78671325663048e-13
18101.18,20850.3873864545,-2749.20738645454,22639406.2747011,4758.08851059973,7.78671325663048e-13
11367.42,7926.15063786792,3441.26936213208,22639406.2747011,4758.08851059973,7.78671325663048e-13
17446.84,20850.3873864545,-3403.54738645454,22639406.2747011,4758.08851059973,7.78671325663048e-13
18020.26,11976.2177240499,6044.04227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
18713.09397,11976.2177240499,6736.87624595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
5212.601666,11976.2177240499,-6763.61605804992,22639406.2747011,4758.08851059973,7.78671325663048e-13
6609.122156,11976.2177240499,-5367.09556804992,22639406.2747011,4758.08851059973,7.78671325663048e-13
9117.512792,11976.2177240499,-2858.70493204992,22639406.2747011,4758.08851059973,7.78671325663048e-13
12789.32551,11976.2177240499,813.107785950084,22639406.2747011,4758.08851059973,7.78671325663048e-13
9031.530084,10837.1988302728,-1805.66874627285,22639406.2747011,4758.08851059973,7.78671325663048e-13
14513.62,11976.2177240499,2537.40227595008,22639406.2747011,4758.08851059973,7.78671325663048e-13
18644.78176,10837.1988302728,7807.58292972715,22639406.2747011,4758.08851059973,7.78671325663048e-13
26473.03,11976.2177240499,14496.8122759501,22639406.2747011,4758.08851059973,7.78671325663048e-13
11252.88,11976.2177240499,-723.337724049918,22639406.2747011,4758.08851059973,7.78671325663048e-13
