,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
2063,HS3644000002,HH14360012,3,2,3,1,4,1,2,79.19999999999999,2,1,1,4,1,1,3,2,2,1,2,3584.35
2064,HS3644000003,HH14360013,3,2,3,3,4,1,2,79.19999999999999,2,1,1,4,1,1,3,2,2,1,2,3110.55
2065,HS3644000004,HH14360014,3,2,3,7,4,1,2,79.19999999999999,2,1,1,4,1,3,3,2,2,3,3,3424.96
2066,HS3644000005,HH14360015,3,2,3,7,4,1,2,79.19999999999999,2,1,1,4,1,1,3,2,2,2,2,3732.88
2067,HS3644000006,HH11360072,3,2,2,2,4,1,3,85.8,3,1,1,8,2,3,3,3,2,1,4,11495.1
2068,HS3644000007,HH11360073,3,2,2,2,4,4,3,99.0,4,1,2,5,2,1,3,4,2,3,3,8358.19
2069,HS3644000008,HH11360074,3,2,2,3,4,1,3,85.8,3,1,1,8,2,3,3,4,2,5,3,10392.57
2070,HS3644000009,HH11360075,3,2,2,4,4,1,3,85.8,3,1,1,10,2,1,3,3,2,3,3,10639.02
2071,HS3646000001,HH12360018,3,2,1,2,4,1,3,95.69999999999999,2,1,1,7,2,1,3,2,3,3,1,9409.95
2072,HS3646000002,HH12360019,3,2,1,1,5,4,2,99.0,3,1,2,7,2,1,3,4,2,1,4,6981.2
2073,HS3646000003,HH12360020,3,2,1,1,5,4,1,59.4,2,1,1,7,2,1,3,3,3,2,1,10058.75
2074,HS3646000004,HH12360021,3,2,1,1,5,4,4,95.69999999999999,3,1,1,7,2,1,3,4,3,3,2,8765.97
2075,HS3646000005,HH12360022,3,2,1,1,5,4,4,79.19999999999999,2,1,1,7,2,1,3,4,3,3,3,12936.8
2076,HS3646000006,HH12360023,3,2,2,1,5,4,3,46.199999999999996,2,0,1,4,2,3,3,4,3,3,2,10493.08
2077,HS3646000007,HH12360024,3,2,1,1,5,4,3,82.5,2,1,1,6,2,3,3,2,3,1,1,6939.02
2078,HS3646000008,HH12360025,3,2,2,1,5,4,2,105.6,3,1,1,7,2,1,3,5,3,1,5,9998.2
2079,HS3646000009,HH12360026,3,2,1,1,5,4,4,89.1,3,1,1,6,2,3,3,2,2,1,4,14385.76
2080,HS3701100001,HH12370036,2,2,1,1,5,3,1,85.8,3,1,1,6,2,3,3,4,2,3,6,9165.84
2081,HS3701100002,HH13370024,2,2,2,3,4,1,2,69.3,3,1,1,13,1,3,4,1,2,1,3,14716.84
2082,HS3701100003,HH16370004,2,2,2,1,5,1,3,99.0,3,1,1,8,1,3,3,3,2,3,4,5216.78
2083,HS3701100004,HH14370024,2,2,1,1,5,1,3,59.4,2,1,1,12,1,3,4,5,2,3,4,8065.041356
2084,HS3701100005,HH11370077,2,2,2,1,5,1,4,62.699999999999996,2,1,1,6,1,3,4,2,2,1,3,2990.525394
2085,HS3701100006,HH11370078,2,2,2,4,5,1,4,62.699999999999996,2,1,1,8,2,3,3,1,3,5,1,9633.6
2086,HS3701100007,HH11370079,2,2,2,2,4,2,4,62.699999999999996,2,1,1,8,1,3,4,2,3,1,3,9291.733033
2087,HS3701100008,HH11370080,2,2,2,3,4,2,4,62.699999999999996,2,1,1,8,1,3,4,3,2,5,3,4594.609089
2088,HS3701100009,HH16370005,2,2,2,1,5,1,4,49.5,2,1,1,3,1,1,4,1,3,2,1,12769.51
2089,HS3701100010,HH11370081,2,2,2,2,4,2,3,85.8,3,1,1,8,2,3,3,3,2,1,3,11743.73
2090,HS3701100011,HH11370082,2,2,1,2,4,2,4,95.69999999999999,3,1,1,18,1,3,4,4,2,5,3,10752.3
